id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
569,Cristian,Romero,Romero,i,Knee injury - Expected back 01 Jun,,5.0,252,39.0,3.0,111,41.0,0.3,322.0,105.0,0,0,0.0,0,0.0,4,220,0.1,18.2,0.0,0.0,4.0,62.0,26.0,0.0,0.0,63.0,29.0,246.0,64.0,137.0,26.0,133.0,39.0,,,,,,,,0.07,0.06,0.13,1.36,0.0,0.24,1.59,1.06,9.49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
570,Kevin,Danso,Danso,a,,,4.2,630,141.0,0.2,408,151.0,1.0,209.0,71.0,0,0,0.0,-3,3.0,26,20,0.2,9.8,1.0,1.5,2.2,307.0,112.0,100.0,100.0,220.0,86.0,416.0,151.0,347.0,114.0,335.0,112.0,,,,,,,,0.03,0.02,0.05,1.45,0.0,0.17,1.82,1.04,12.39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
571,Ben,Davies,Davies,i,Ankle injury - Unknown return date,,4.3,577,124.0,0.1,552,197.0,0.0,513.0,216.0,0,0,0.0,-2,2.0,0,2,0.0,2.3,0.0,0.0,3.3,147.0,55.0,0.0,0.0,405.0,151.0,395.0,141.0,335.0,108.0,402.0,144.0,,,,,,,,0.32,0.05,0.37,0.73,0.0,0.0,1.99,1.32,9.26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
572,Radu,Drăgușin,Dragusin,a,,,4.5,450,93.0,0.0,667,235.0,0.0,614.0,244.0,0,0,0.0,0,0.0,6,4,0.0,3.3,0.0,0.5,1.9,353.0,130.0,100.0,100.0,351.0,133.0,457.0,164.0,372.0,126.0,400.0,143.0,,,,,,,,0.05,0.0,0.05,2.09,0.0,0.0,2.28,0.88,12.28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
573,Djed,Spence,Spence,a,,,4.1,655,156.0,0.9,203,79.0,0.3,295.0,93.0,0,0,0.0,-4,4.0,18,44,0.1,14.9,0.3,0.8,2.4,278.0,105.0,100.0,100.0,243.0,97.0,181.0,46.0,184.0,42.0,226.0,78.0,,,,,,,,0.04,0.09,0.13,1.46,0.0,0.35,1.48,1.04,5.19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
574,Destiny,Udogie,Udogie,d,Muscle injury - 50% chance of playing,,4.3,594,136.0,0.3,320,115.0,1.3,172.0,62.0,0,0,0.0,-2,2.0,0,41,0.3,4.2,0.7,0.5,1.1,446.0,159.0,50.0,25.0,316.0,121.0,215.0,57.0,281.0,82.0,309.0,104.0,,,,,,,,0.01,0.06,0.07,1.53,0.0,0.0,1.88,0.9,4.48,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
575,Micky,van de Ven,Van de Ven,a,,,4.4,548,118.0,18.1,17,6.0,0.7,247.0,83.0,0,0,0.0,-1,1.0,209,1516,0.2,22.7,0.7,1.2,3.3,149.0,57.0,100.0,100.0,52.0,25.0,296.0,92.0,149.0,31.0,137.0,42.0,,,,,,,,0.1,0.01,0.11,1.38,0.0,0.24,1.6,1.04,6.67,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25869,14293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
576,Ashley,Phillips,Phillips,u,Has joined Stoke City on loan for the rest of the season.,,4.0,716,188.0,0.0,741,255.0,0.0,461.0,178.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,617.0,228.0,0.0,0.0,607.0,228.0,600.0,228.0,570.0,225.0,609.0,228.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
577,Takai,Kōta,Takai,u,has joined Borussia Mönchengladbach on loan for the rest of the season.,,4.0,718,189.0,0.0,606,216.0,0.0,463.0,179.0,0,0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,619.0,229.0,0.0,0.0,609.0,229.0,602.0,229.0,572.0,226.0,611.0,229.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
578,Luka,Vušković,Vuskovic,u,has joined Hamburger SV on loan for the rest of the season.,,3.9,790,233.0,0.3,322,117.0,0.0,411.0,153.0,0,0,0.0,-1,1.0,0,4,0.0,0.0,0.0,0.0,0.0,577.0,210.0,0.0,0.0,566.0,209.0,555.0,209.0,524.0,205.0,568.0,209.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
