player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches,penalties_won,penalties_conceded,penalties_faced,penalties_saved
473,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Aina,,0,0,0,0,0,0,0,0,0,0,0,,,,
476,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,O.Richards,,0,0,0,0,0,0,0,0,0,0,0,,,,
477,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Abbott,,0,0,0,0,0,0,0,0,0,0,0,,,,
478,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Netz,,0,0,0,0,0,0,0,0,0,0,0,,,,
479,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Bindon,,0,0,0,0,0,0,0,0,0,0,0,,,,
480,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Gibbs-White,,0,0,0,0,0,0,0,0,0,0,0,,,,
485,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Bakwa,,0,0,0,0,0,0,0,0,0,0,0,,,,
486,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,McAtee,,0,0,0,0,0,0,0,0,0,0,0,,,,
487,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Dominguez,,0,0,0,0,0,0,0,0,0,0,0,,,,
489,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Yates,,0,0,0,0,0,0,0,0,0,0,0,,,,
491,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Igor Jesus,,0,0,0,0,0,0,0,0,0,0,0,,,,
492,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Awoniyi,,0,0,0,0,0,0,0,0,0,0,0,,,,
493,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Kalimuendo,,0,0,0,0,0,0,0,0,0,0,0,,,,
467,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Sels,,0,0,0,0,0,0,0,0,0,0,0,,,,
469,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,N.Williams,,0,0,0,0,0,0,0,0,0,0,0,,,,
470,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Morato,,0,0,0,0,0,0,0,0,0,0,0,,,,
471,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Milenković,,0,0,0,0,0,0,0,0,0,0,0,,,,
473,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Aina,,0,0,0,0,0,0,0,0,0,0,0,,,,
476,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,O.Richards,,0,0,0,0,0,0,0,0,0,0,0,,,,
477,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Abbott,,0,0,0,0,0,0,0,0,0,0,0,,,,
478,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Netz,,0,0,0,0,0,0,0,0,0,0,0,,,,
479,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Bindon,,0,0,0,0,0,0,0,0,0,0,0,,,,
480,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Gibbs-White,,0,0,0,0,0,0,0,0,0,0,0,,,,
484,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Hutchinson,,0,0,0,0,0,0,0,0,0,0,0,,,,
485,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Bakwa,,0,0,0,0,0,0,0,0,0,0,0,,,,
486,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,McAtee,,0,0,0,0,0,0,0,0,0,0,0,,,,
487,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,Dominguez,,0,0,0,0,0,0,0,0,0,0,0,,,,
